branch,attack,attack_class,mechanism,strength,regime,rule,n,n_fire,detection_rate
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_Ym,family_v12,360,0,0.0
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_Ym,family,360,0,0.0
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XFY,union,360,55,0.1527777777777778
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XFY,family_v12,360,35,0.09722222222222222
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XFY,family,360,33,0.09166666666666666
quantum,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XFY_trusted,exact,360,180,0.5
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_X,union,360,43,0.11944444444444445
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_X,family_v12,360,37,0.10277777777777777
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_X,family,360,37,0.10277777777777777
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XF,union,360,167,0.4638888888888889
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XF,family_v12,360,144,0.4
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XF,family,360,133,0.36944444444444446
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_Ym,union,360,0,0.0
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_Ym,family_v12,360,0,0.0
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_Ym,family,360,0,0.0
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XFY,union,360,167,0.4638888888888889
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XFY,family_v12,360,135,0.375
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XFY,family,360,123,0.3416666666666667
quantum,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XFY_trusted,exact,360,235,0.6527777777777778
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_X,union,360,155,0.4305555555555556
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_X,family_v12,360,134,0.37222222222222223
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_X,family,360,133,0.36944444444444446
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XF,union,360,246,0.6833333333333333
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XF,family_v12,360,217,0.6027777777777777
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XF,family,360,209,0.5805555555555556
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_Ym,union,360,0,0.0
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_Ym,family_v12,360,0,0.0
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_Ym,family,360,0,0.0
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XFY,union,360,246,0.6833333333333333
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XFY,family_v12,360,213,0.5916666666666667
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XFY,family,360,195,0.5416666666666666
quantum,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XFY_trusted,exact,360,311,0.8638888888888889
