protocol,dataset_tag,model,svd_dim,split_seed,model_seed,impact_mean,detectability_feature_sharednorm_mean,detectability_standard_sharednorm_mean,detectability_label_marginal_sharednorm_mean,detectability_joint_outcome_sharednorm_mean,detectability_full_sharednorm_mean,stealth_standard_sharednorm_mean,stealth_full_sharednorm_mean,n_attacks,seed_unit,gate,max_train,max_test
id,id6292a46b,qsvc_z_r1,8,46,43,0.0303714458704378,0.20374533075014828,0.2237449850813624,0.09875927420876114,0.10412586802996815,0.14664798444480115,0.023614404236247957,0.024727472413981443,18,46|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,10,42,42,0.027086218366460302,0.2215085854923094,0.2104604411868174,0.07638740501592309,0.07814271142275654,0.12593910289935442,0.017093793001862496,0.02110004731301332,18,42|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,10,42,43,0.026021731280467825,0.2036733361115717,0.20223583186310187,0.09721925447629062,0.07359732261704403,0.12466985904456444,0.02011353057872127,0.020992753830032483,18,42|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,10,43,42,0.02330531838232173,0.19293763642151773,0.18780356314561375,0.08641535418570365,0.03462889096995465,0.09974449234578504,0.01992633922130671,0.02040396394732732,18,43|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,10,43,43,0.02236311173643161,0.19056107358317065,0.17834780247027618,0.09721925447629062,0.04911127367249146,0.10485328065419484,0.019357999517745486,0.018988798723437856,18,43|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,10,44,42,0.016873061161735606,0.2024385532045983,0.2025110619512532,0.11727515281585174,0.11019603878859957,0.1450522497617922,0.014409446325909443,0.01368399751054739,18,44|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,10,44,43,0.039167511538143254,0.19784691391981227,0.2013655342741091,0.09721925447629062,0.07658564326054862,0.12571171475925097,0.031764393753049874,0.03289041699439657,18,44|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,10,45,42,0.016605827773433265,0.22328263867591142,0.2098206428943892,0.0920060883452081,0.03142558437506726,0.10731115183120993,0.01401301523877522,0.01469302083632202,18,45|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,10,45,43,0.02070764787073514,0.202343843782597,0.2015198442752255,0.10220889783263903,0.058338840273605336,0.11838103401220061,0.018828955307668704,0.018522709896181325,18,45|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,10,46,42,0.02532623626373626,0.19774982101526373,0.18631054725058427,0.05555555555555555,0.04144069229369871,0.09668697832563106,0.022577704487306963,0.022987772317235082,18,46|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,10,46,43,0.02214602029790201,0.2146502454891867,0.20172333952781066,0.09875927420876114,0.06834975687662737,0.12237824462835471,0.018424907731280377,0.01959004530431175,18,46|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,12,42,42,0.020928369718692292,0.22312953295564825,0.21875488961631906,0.07638740501592309,0.06535253641909528,0.12314155005387262,0.016630335226368524,0.01794288787355626,18,42|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,12,42,43,0.02862312107943827,0.20694882894048192,0.2035510501007952,0.09721925447629062,0.0748362264660524,0.12571125833509308,0.02305206935727692,0.02402932628879585,18,42|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,12,43,42,0.024170613849908984,0.18654202313882245,0.1905749455807224,0.08641535418570365,0.045332728531133515,0.1056176484863604,0.02005095586990661,0.020939515645326492,18,43|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,12,43,43,0.01843035467867456,0.18997781833290062,0.18379919811901735,0.09721925447629062,0.042692258540936445,0.10391787219393936,0.01582199406509113,0.015501092693752778,18,43|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,12,44,42,0.031248125822619988,0.21505496583721262,0.2210526841884469,0.11727515281585174,0.07388334014089992,0.1352888857354537,0.021207860489713324,0.024372466887902622,18,44|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,12,44,43,0.028751268830233878,0.20819522717240638,0.1983012694388831,0.09721925447629062,0.06319555002263905,0.11851103062011899,0.02293141140879198,0.02411347885406665,18,44|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,12,45,42,0.015737772217877713,0.2282004916925665,0.21637271735556818,0.0920060883452081,0.03739512019672069,0.11240714973602658,0.01466681540373248,0.014354886421000464,18,45|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,12,45,43,0.022877786759624028,0.20337368145325724,0.20775192625959157,0.10220889783263903,0.06870917964683768,0.1253610362670757,0.01989525177830787,0.019429050821511917,18,45|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,12,46,42,0.024316472493555827,0.20218362497673742,0.20072186358065428,0.05555555555555555,0.07220712733197644,0.11591220019032823,0.021917787365569905,0.021766907318315112,18,46|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_z_r1,12,46,43,0.01836150613872388,0.20899026655592637,0.19864749286500877,0.09875927420876114,0.06625109114186173,0.12030581596244239,0.01548269947639243,0.015806086227746607,18,46|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,8,42,42,0.035252134924513956,0.2162951474369248,0.24371973865607918,0.07638740501592309,0.15647095282499876,0.17363713898010513,0.020884867395410994,0.02307189704163198,18,42|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,8,42,43,0.046854067191768795,0.19987416548650516,0.23141137120627894,0.09721925447629062,0.09975906115100439,0.14717084541206535,0.03568867497546127,0.03708979877542948,18,42|43,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,8,43,42,0.0653623733736251,0.19141238815043313,0.21759889898446425,0.08641535418570365,0.16580603777865716,0.17020513574568635,0.03878985938434158,0.041002981446727836,18,43|42,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,8,43,43,0.036361157261694886,0.19668292882599345,0.21568649417268804,0.09721925447629062,0.2182760572505603,0.19532407017237588,0.028760494882693707,0.025330535614116467,18,43|43,gate5a_id_unsw,128,128
